cohort,n_agg,n_sec,delta,lo,hi,fold
RCC_big,77,1,0.493,0.376,0.595,1.41
RCC_figshare,11,4,0.03,-0.45,1.062,1.02
RCC_pooled,88,5,0.493,0.369,0.595,1.41
DKD,61,13,0.264,-0.161,0.677,1.2
