row_0,B,CD4,CD8,Myeloid/Macro,Plasma,Unresolved,non-immune (missed)
B,0.9272050327384773,0.023795794410487063,0.01070787381379841,0.00138717977402394,0.03257443082311734,0.07815442561205273,0.033846153846153845
CD4,0.017203748876620874,0.683581286279937,0.15818158502180046,0.00208076966103591,0.037478108581436076,0.07532956685499058,0.09173076923076923
CD8,0.011683142893824624,0.2603313727751509,0.7261477301872274,0.012193757691016893,0.022416812609457094,0.1064030131826742,0.14673076923076922
DC,0.01065605340865323,0.0011148272017837235,0.00012823800974608873,0.001879404855129209,0.003852889667250438,0.0018832391713747645,0.0003846153846153846
Mast/Baso,0.011041211965592502,0.0018836735478414638,0.0003205950243652218,0.0019689003244210764,0.0021015761821366026,0.002824858757062147,0.025
Myeloid/Macro,0.015791500834510207,0.01122515665244301,0.003462426263144396,0.9535742253048439,0.0276707530647986,0.5941619585687382,0.6753846153846154
NK,0.0003851585569392733,0.015146273017337486,0.1002821236214414,4.474773464593355e-05,0.0017513134851138354,0.0,0.002692307692307692
Neutrophil,0.0016690204134035178,0.0020758851343558988,0.0,0.026557780512361562,0.0014010507880910684,0.00847457627118644,0.020961538461538462
Plasma,0.004365130311978431,0.0008457309806635144,0.0007694280584765325,0.00031323414252153485,0.8707530647985989,0.1327683615819209,0.003269230769230769
