orig_ident,Condition,n_cells,area_mm2,n_Blin,Blin_frac,Blin_per10k,Blin_per_mm2,n_agg,n_agg_cells,agg_per10k,agg_per_mm2,agg_cells_per10k,frac_Blin_in_agg,author_Bpredom_ME,author_Bpredom_ME_20um,our_subgroup,author_Brich
1006,DKD,45609,12.858,1331,0.0292,291.8,103.5,5,923,1.096,0.389,202.4,0.693,725,797,B-rich,B-rich
HK2695,DKD,151101,42.373,3073,0.0203,203.4,72.5,4,1738,0.265,0.094,115.0,0.566,1509,1576,B-rich,B-rich
1008,DKD,27912,7.538,368,0.0132,131.8,48.8,2,112,0.717,0.265,40.1,0.304,0,0,B-poor,B-poor
1012,DKD,39105,13.613,513,0.0131,131.2,37.7,3,113,0.767,0.22,28.9,0.22,0,0,B-poor,B-poor
1001,DKD,29126,8.333,211,0.0072,72.4,25.3,1,26,0.343,0.12,8.9,0.123,0,0,B-poor,B-poor
1013,DKD,28261,7.713,554,0.0196,196.0,71.8,1,21,0.354,0.13,7.4,0.038,0,0,B-poor,B-poor
1011,DKD,27876,6.438,289,0.0104,103.7,44.9,0,0,0.0,0.0,0.0,0.0,0,0,B-poor,B-poor
1010,DKD,40475,10.678,207,0.0051,51.1,19.4,0,0,0.0,0.0,0.0,0.0,0,0,B-poor,B-poor
