"cell_type","Freq"
"Distal_tubule",54717
"Endothelial",59441
"Loop_of_Henle_TAL",67480
"Myeloid",33535
"pDC",34394
"Plasma",8243
"Stroma_mural",55420
"T_cell",89707
"Tumor_RCC",129455
