"final_ref_cell_type","Freq"
"Connecting Tubule",52839
"Distal_tubule",1878
"Endothelial",59441
"Fibroblast",44666
"Intermediate monocytes",19648
"Loop_of_Henle_TAL",45616
"Low-density basophils",41301
"Low-density neutrophils",89707
"Myeloid",13887
"Myeloid dendritic cells",8331
"pDC",1336
"Podocyte",22037
"Progenitor cells",21864
"Tumor_RCC",99087
"Vascular Smooth Muscle / Pericyte",10754
