"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.52687597344737,0.358,0.011,0,"21","MCEMP1"
0,5.0906040734601,0.271,0.028,0,"21","AQP9"
0,4.87359207332947,0.198,0.032,0,"21","IL1R2"
2.13953561261467e-183,3.25852991880238,0.105,0.034,8.66511923108941e-181,"21","APOBEC3A"
2.05550492663195e-96,1.9498769279582,0.21,0.129,8.32479495285939e-94,"21","MNDA"
3.47963430120737e-64,1.77073444318882,0.155,0.094,1.40925189198899e-61,"21","CLEC4E"
1.13201242619746e-42,1.72507938534722,0.174,0.123,4.58465032609973e-40,"21","ITGAX"
6.23600771890686e-152,1.32774138002411,0.212,0.105,2.52558312615728e-149,"21","SELL"
2.19570896600906e-06,1.20495657093308,0.117,0.104,0.000889262131233668,"21","LILRB2"
0,5.83216628733743,0.364,0.015,0,"22","LILRA4"
0,5.67648494260604,0.16,0.01,0,"22","KRT5"
0,5.56782378593711,0.633,0.052,0,"22","GZMB"
0,4.82026406770808,0.256,0.025,0,"22","PLD4"
0,3.04329250405778,0.173,0.025,0,"22","TCL1A"
0,2.77183841480854,0.195,0.051,0,"22","IL3RA"
0,2.56485381752205,0.165,0.038,0,"22","SPIB"
0,2.21880511953795,0.34,0.14,0,"22","MPEG1"
1.2032079486301e-318,2.0851985902664,0.273,0.115,4.87299219195192e-316,"22","IRF8"
0,1.9976584246824,0.325,0.146,0,"22","GPR183"
0,7.44200927177482,0.413,0.008,0,"23","KIT"
0,6.94744992391577,0.18,0.007,0,"23","CPA3"
0,6.31539891786962,0.138,0.007,0,"23","IL1RL1"
0,6.06053930495609,0.11,0.007,0,"23","MS4A2"
0,5.54508553706396,0.188,0.012,0,"23","GATA2"
0,4.87726908730247,0.318,0.038,0,"23","VWA5A"
0,2.35992007303117,0.218,0.069,0,"23","KLRB1"
0,1.98717156888296,0.359,0.144,0,"23","IL7R"
1.29047250493032e-177,1.61647064727224,0.238,0.111,5.2264136449678e-175,"23","CD69"
1.37650957572335e-63,1.49909618478864,0.113,0.056,5.57486378167957e-61,"23","GATA3"
0,6.74293888580339,0.952,0.031,0,"24","LAMP3"
0,3.33596596114167,0.435,0.069,0,"24","CCR7"
0,3.11721856438341,0.253,0.061,0,"24","CD83"
1.26115560870437e-148,2.24871285476888,0.17,0.07,5.10768021525269e-146,"24","CSF2RA"
0,2.18565662757774,0.508,0.143,0,"24","IL7R"
0,2.15470142725195,0.166,0.039,0,"24","CCL19"
2.50340688291908e-269,1.80853109846824,0.221,0.076,1.01387978758223e-266,"24","CD28"
5.76790352851844e-260,1.71475846383779,0.303,0.129,2.33600092904997e-257,"24","CTLA4"
1.0838690631259e-296,1.51358394921447,0.345,0.148,4.38966970565991e-294,"24","CD3D"
1.4102193125626e-239,1.49075727418974,0.262,0.104,5.71138821587852e-237,"24","SELL"
8.39868372887688e-88,3.54782824717789,0.178,0.075,3.40146691019514e-85,"25","CENPF"
5.22372612696364e-34,3.34145613004113,0.146,0.083,2.11560908142027e-31,"25","UBE2C"
1.28632260608749e-71,3.26257162853331,0.188,0.09,5.20960655465434e-69,"25","TOP2A"
5.23552408451085e-199,3.20733054632317,0.352,0.156,2.1203872542269e-196,"25","MKI67"
2.36430201007189e-42,2.90374305755416,0.184,0.108,9.57542314079114e-40,"25","CDK1"
3.02805544395685e-12,0.86218691105761,0.157,0.255,1.22636245480253e-09,"25","PCNA"
0.000209003511333559,0.746560848935577,0.409,0.459,0.0846464220900914,"25","FCGR3A"
1.24819926503403e-15,0.567185679531019,0.065,0.131,5.05520702338782e-13,"25","MNDA"
3.03316276770509e-18,0.5457186491322,0.136,0.244,1.22843092092056e-15,"25","FCGR1A"
1.32372460392373e-16,0.526691255478972,0.118,0.21,5.36108464589111e-14,"25","VSIG4"
0,6.59183025122303,0.506,0.014,0,"26","MFAP5"
0,6.05687008389801,0.374,0.018,0,"26","OGN"
5.05297753873434e-110,1.87419513496394,0.204,0.076,2.04645590318741e-107,"26","CD28"
2.3486504189287e-201,1.82684390936759,0.367,0.145,9.51203419666121e-199,"26","IL7R"
6.9761061203115e-88,1.537082445491,0.217,0.093,2.82532297872616e-85,"26","CD247"
3.52460737183364e-70,1.51685484060245,0.22,0.105,1.42746598559263e-67,"26","SELL"
1.19545807135523e-132,1.51448698354878,0.329,0.149,4.8416051889887e-130,"26","CD3D"
1.72765766497346e-269,1.5075950575263,0.597,0.291,6.9970135431425e-267,"26","CD3E"
4.47397554158922e-83,1.48063679023631,0.181,0.072,1.81196009434363e-80,"26","CCR7"
2.06018201789403e-82,1.46670467549369,0.255,0.124,8.34373717247081e-80,"26","CD3G"
1.25736034231213e-34,1.62713366828814,0.013,0.108,5.09230938636412e-32,"27","IGSF6"
1.76944237023733e-65,1.43850046333359,0.037,0.22,7.1662415994612e-63,"27","CD2"
1.64794884752438e-50,1.3923134165563,0.013,0.143,6.67419283247375e-48,"27","MTRNR2L11"
2.36670724454136e-62,1.3361311808006,0.03,0.201,9.58516434039251e-60,"27","ACTG2"
1.61308311304075e-96,1.33333025724074,0.07,0.343,6.53298660781503e-94,"27","CXCR4"
3.58601915716437e-60,1.31217939649334,0.02,0.176,1.45233775865157e-57,"27","GLIPR1"
4.05082158414352e-54,1.27852943168461,0.033,0.189,1.64058274157813e-51,"27","PRDM1"
1.61396774411843e-79,1.27422010741137,0.061,0.293,6.53656936367964e-77,"27","CD3E"
5.84950424691073e-48,1.16562397732106,0.018,0.148,2.36904921999885e-45,"27","FHL2"
8.07088331674782e-57,1.1557338193422,0.038,0.202,3.26870774328287e-54,"27","CYTIP"
3.84157743119176e-104,2.48713308131846,0.994,0.943,1.55583885963266e-101,"28","VIM"
4.78102943714577e-06,1.04858901469538,0.012,0.139,0.00193631692204404,"28","SMYD2"
4.96024985285532e-14,0.904612741773105,0.037,0.337,2.00890119040641e-11,"28","BASP1"
1.60720634383894e-08,0.708944136782745,0.019,0.202,6.50918569254772e-06,"28","TCF4"
1.01025355004902e-05,0.566187018856491,0.019,0.143,0.00409152687769853,"28","MTRNR2L11"
1.97940128564277e-07,0.514826105648726,0.006,0.156,8.01657520685324e-05,"28","FAS"
