"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.51702426637052,0.626,0.176,0,"3","CD86"
0,1.77579424812566,0.656,0.214,0,"3","IL2RA"
0,1.29140026869554,0.674,0.251,0,"3","CD4"
0,0.97499134192778,0.669,0.254,0,"3","HAVCR2"
0,1.38853261907165,0.577,0.174,0,"3","LILRB2"
0,1.5653411424816,0.56,0.158,0,"3","IGSF6"
0,1.88405314355882,0.536,0.144,0,"3","MRC1"
0,1.06458684148954,0.711,0.33,0,"3","BASP1"
0,1.14859201226055,0.65,0.281,0,"3","PMP22"
0,1.22192192400198,0.558,0.195,0,"3","GPR183"
0,1.41295440821724,0.467,0.128,0,"3","MNDA"
0,1.58956834210996,0.507,0.188,0,"3","CXCL9"
0,1.48376830420702,0.418,0.1,0,"3","CSF2RA"
0,1.37561096150119,0.433,0.121,0,"3","IRF8"
0,0.82026573675907,0.536,0.235,0,"3","SLAMF7"
0,1.23323753359123,0.437,0.144,0,"3","ADAM28"
0,2.423275667192,0.331,0.042,0,"3","LILRB4"
0,1.74676048515053,0.318,0.063,0,"3","TREM2"
0,3.01048096512985,0.262,0.035,0,"3","MARCO"
0,1.7542765898234,0.283,0.056,0,"3","SPI1"
0,1.23286476505792,0.299,0.079,0,"3","LY86"
0,1.47407925073884,0.289,0.074,0,"3","AQP9"
0,1.23203883665734,0.265,0.073,0,"3","HLA-DQB2"
0,1.28706426639363,0.262,0.079,0,"3","CLEC10A"
0,2.0059662419684,0.206,0.048,0,"3","MCEMP1"
0,1.94825325999297,0.158,0.032,0,"3","CD300E"
0,1.69992619539092,0.145,0.029,0,"3","HAMP"
9.96135155145121e-320,1.05892690712776,0.308,0.108,3.75542953489711e-317,"3","CD83"
4.94309292178607e-291,1.75839848828503,0.183,0.05,1.86354603151335e-288,"3","FCN1"
2.09923148636599e-236,0.949454599012737,0.237,0.084,7.91410270359978e-234,"3","CLEC4E"
9.25379785325419e-231,0.526214208295579,0.471,0.227,3.48868179067683e-228,"3","BCL2L11"
7.49286965597358e-227,0.99285938404162,0.211,0.071,2.82481186030204e-224,"3","C15orf48"
1.4218767177819e-206,0.872867134222802,0.22,0.08,5.36047522603776e-204,"3","CXCL2"
6.80409226099923e-201,0.531466031213911,0.536,0.288,2.56514278239671e-198,"3","SERPINB9"
1.99401413744001e-166,0.892486069015724,0.29,0.134,7.51743329814884e-164,"3","CXCL10"
4.55481127015751e-164,0.609180606860408,0.273,0.121,1.71716384884938e-161,"3","PPARG"
1.6070198488385e-148,0.802409021711806,0.185,0.073,6.05846483012113e-146,"3","IL3RA"
1.34127837419696e-66,0.406315385332233,0.117,0.054,5.05661947072255e-64,"3","GATM"
1.01431898971847e-65,0.363116117316067,0.106,0.047,3.82398259123865e-63,"3","SNCA"
1.18294196196169e-26,0.35233952795381,0.482,0.389,4.45969119659556e-24,"3","VCAN"
0,1.70863969153784,0.57,0.294,0,"4","CD14"
0,1.56830185348886,0.614,0.338,0,"4","FCGR3A"
0,1.49850566988555,0.663,0.39,0,"4","MS4A6A"
0,1.49081010540074,0.656,0.399,0,"4","AIF1"
0,1.79220626996367,0.451,0.218,0,"4","VSIG4"
0,1.40552438648545,0.588,0.36,0,"4","FGL2"
0,1.7214430271283,0.443,0.221,0,"4","CD163"
4.53336326551093e-316,1.53503755206803,0.491,0.289,1.70907795109762e-313,"4","MPEG1"
5.06777844386257e-313,1.59104882132368,0.459,0.257,1.91055247333619e-310,"4","MS4A4A"
1.00168628377175e-301,1.60236827109226,0.446,0.246,3.7763572898195e-299,"4","CD68"
4.09772011172795e-241,1.76173760763855,0.329,0.162,1.54484048212144e-238,"4","PLA2G7"
1.82926645542735e-177,1.38172146320741,0.387,0.239,6.8963345369611e-175,"4","IL2RA"
8.00741230576679e-125,1.50171329990093,0.282,0.167,3.01879443927408e-122,"4","MRC1"
7.44711971833466e-124,1.45900207491287,0.297,0.183,2.80756413381217e-121,"4","IGSF6"
5.29584732500526e-118,1.13208198720991,0.409,0.302,1.99653444152698e-115,"4","FCGR1A"
9.85490626949788e-117,1.24381791635805,0.357,0.245,3.7152996636007e-114,"4","C1orf162"
1.20118030550729e-111,1.42761436984991,0.319,0.205,4.52844975176249e-109,"4","CXCL9"
2.57168203866442e-110,1.15301699574737,0.383,0.278,9.69524128576488e-108,"4","CD4"
1.19898380552396e-77,1.19954313666915,0.326,0.242,4.52016894682532e-75,"4","KCNMA1"
3.71613603805885e-46,1.27111709689325,0.182,0.122,1.40098328634819e-43,"4","CSF2RA"
4.33775231310291e-43,1.03258821435392,0.267,0.209,1.6353326220398e-40,"4","CD86"
2.05934949526985e-42,0.734872895858879,0.344,0.284,7.76374759716733e-40,"4","HAVCR2"
1.39237862045665e-31,1.52676360710975,0.114,0.072,5.24926739912158e-29,"4","SPI1"
4.27825110558375e-30,0.755070310674546,0.381,0.361,1.61290066680507e-27,"4","BASP1"
8.72713885387862e-28,0.850281332487755,0.266,0.222,3.29013134791224e-25,"4","GPR183"
7.70677778834222e-25,1.11814152929633,0.194,0.153,2.90545522620502e-22,"4","MNDA"
4.73247258789454e-20,0.901320427752181,0.237,0.205,1.78414216563624e-17,"4","LILRB2"
5.49625763319505e-14,1.21598037216622,0.109,0.082,2.07208912771453e-11,"4","TREM2"
4.68105449172114e-12,0.923944301366078,0.171,0.145,1.76475754337887e-09,"4","CXCL10"
1.83405092773926e-10,0.575729151359118,0.275,0.259,6.914371997577e-08,"4","SLAMF7"
2.32884868670207e-10,1.08191499451737,0.118,0.096,8.77975954886682e-08,"4","LY86"
8.4396348001066e-07,0.639878983152395,0.299,0.313,0.000318174231964019,"4","PMP22"
1.58368215316789e-05,0.76704263811476,0.176,0.168,0.00597048171744294,"4","ADAM28"
0.00175592944458283,0.281137977493575,0.207,0.252,0.661985400607729,"4","BCL2L11"
0.0024861647577183,0.734371231432268,0.151,0.147,0.937284113659799,"4","IRF8"
1.60750451475251e-224,1.88805808025974,0.328,0.157,6.06029202061698e-222,"5","AMY2A"
5.02175894097703e-178,2.14335612361184,0.182,0.065,1.89320312074834e-175,"5","CYP2A7"
2.214990784106e-167,2.45988343681748,0.123,0.035,8.35051525607961e-165,"5","SNTN"
9.16135340228916e-139,2.2629651746496,0.121,0.038,3.45383023266302e-136,"5","TCL1A"
7.76375764577632e-128,2.27214905859676,0.119,0.039,2.92693663245767e-125,"5","CYP2F1"
1.07225344759644e-115,2.01906236060038,0.145,0.057,4.04239549743859e-113,"5","EHF"
5.11818846716981e-104,2.26205104060805,0.101,0.034,1.92955705212302e-101,"5","CAPN8"
4.61013499473017e-103,2.16782384361813,0.109,0.038,1.73802089301327e-100,"5","CD1C"
1.55330368312748e-99,2.05332656230426,0.103,0.036,5.85595488539061e-97,"5","CCDC39"
3.24995356285375e-98,2.07754978371657,0.124,0.048,1.22523249319587e-95,"5","SMIM24"
1.07780610504715e-92,2.10841866504708,0.118,0.046,4.06332901602775e-90,"5","CYP2B6"
4.88104293114337e-89,1.89735214155569,0.139,0.061,1.84015318504105e-86,"5","PLAC9"
3.2701675129293e-87,1.87374016814954,0.126,0.053,1.23285315237434e-84,"5","PPP1R1A"
5.20716323400481e-86,1.79778317557568,0.128,0.054,1.96310053921981e-83,"5","RERGL"
2.67487981353107e-85,2.00858211299861,0.102,0.038,1.00842968970121e-82,"5","CLCA2"
4.24502675213872e-84,2.05825136758151,0.113,0.045,1.6003750855563e-81,"5","CD1E"
1.20627075918014e-82,1.65559117291936,0.168,0.083,4.54764076210913e-80,"5","APOBEC3A"
7.78040033980443e-81,1.56884686922324,0.196,0.106,2.93321092810627e-78,"5","ELF5"
1.78517997880562e-80,1.87197158158009,0.107,0.042,6.73012852009718e-78,"5","CLCA1"
4.89482309898038e-79,1.75480917734923,0.166,0.084,1.8453483083156e-76,"5","MCF2L"
1.68330544894011e-76,1.81220461295299,0.123,0.054,6.3460615425042e-74,"5","SERPINB3"
1.82879170180998e-73,1.71757765549685,0.12,0.053,6.89454471582363e-71,"5","SOX2"
2.92307873469402e-73,1.67244240565994,0.14,0.067,1.10200068297965e-70,"5","GYPA"
5.3007719848407e-70,1.8086742528425,0.103,0.043,1.99839103828494e-67,"5","FGFBP1"
2.9474281390938e-62,1.34850836485051,0.21,0.128,1.11118040843836e-59,"5","PPARG"
2.00347086850554e-61,1.83114424500539,0.104,0.047,7.55308517426588e-59,"5","HEPACAM2"
1.08413129526804e-60,1.73267338578826,0.103,0.046,4.0871749831605e-58,"5","SPIB"
1.43601204205526e-60,1.67943436011156,0.129,0.064,5.41376539854831e-58,"5","IL1R2"
2.81252267421088e-56,1.76512867951104,0.103,0.048,1.0603210481775e-53,"5","SNCA"
2.48282742272642e-52,1.73770612882886,0.109,0.053,9.36025938367862e-50,"5","ASCL3"
1.4681884447676e-47,1.55395310090625,0.105,0.052,5.53507043677384e-45,"5","STEAP4"
4.19169649995046e-44,1.36854363820177,0.185,0.119,1.58026958048132e-41,"5","MEST"
1.62134345888559e-41,1.02482567844077,0.271,0.203,6.11246483999869e-39,"5","LILRB2"
5.58806441844115e-41,1.61737400239916,0.102,0.053,2.10670028575231e-38,"5","ADGRE1"
9.98270651287319e-41,1.43876167385452,0.107,0.057,3.76348035535319e-38,"5","CCNB2"
1.49932805098278e-40,1.25348229216887,0.169,0.107,5.65246675220509e-38,"5","CXCL6"
2.3743000278705e-40,1.53844828864814,0.113,0.062,8.95111110507177e-38,"5","PLD4"
3.4138178159902e-36,1.44509107398351,0.105,0.058,1.2870093166283e-33,"5","FCN1"
1.1756226083426e-34,1.34283823476756,0.117,0.068,4.43209723345162e-32,"5","TNFRSF17"
2.0326884972364e-34,1.39535323558593,0.113,0.065,7.66323563458121e-32,"5","UBE2C"
8.31409214625199e-33,1.22873388770123,0.172,0.117,3.134412739137e-30,"5","MTRNR2L11"
2.05180017811632e-31,1.03625072924613,0.117,0.069,7.73528667149853e-29,"5","MMRN1"
2.95332761359932e-30,1.18977217735796,0.178,0.124,1.11340451032694e-27,"5","MALL"
1.01028281552916e-29,0.773261838483304,0.354,0.307,3.80876621454495e-27,"5","FCGR1A"
4.24083359507469e-28,1.24017346315949,0.122,0.076,1.59879426534316e-25,"5","CENPF"
5.61815407831129e-28,1.43304721659096,0.102,0.061,2.11804408752336e-25,"5","SOX17"
3.2729582892452e-25,0.992149883878974,0.149,0.101,1.23390527504544e-22,"5","KLRC1"
1.76839389183093e-24,0.967335492165359,0.218,0.168,6.66684497220259e-22,"5","IGF1"
4.55937828512576e-23,1.02960411683523,0.154,0.109,1.71888561349241e-20,"5","THAP2"
