"cell_type","Freq"
"B_cell",1019
"DC",189
"Endothelial",2643
"Intercalated",3979
"Mast",443
"Myeloid",11132
"NK_cell",1776
"Plasma",1410
"Stroma_mural",12852
"T_cell",18558
"Tumor_RCC",2503
