"cell_type","Freq"
"B_cell",26519
"DC",12380
"Endothelial",52527
"LowQ_MTRNR2L",1840
"Mast",4344
"Myeloid",96189
"Neutrophil",5221
"NK_cell",13793
"pDC",5126
"Plasma",22329
"Proliferating",29989
"Proximal_tubule",5691
"Stroma_mural",79402
"T_cell",83799
"Tumor_RCC",26079
