"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.00946961556506e-11,1.40392905325417,0.102,0.073,3.01957004506803e-08,"9","ANGPT2"
1.87854969281924e-45,1.36408362301152,0.36,0.299,7.08213234192854e-43,"9","TCIM"
0.00024741552975735,1.3473081814655,0.142,0.131,0.0932756547185211,"9","PTGDS"
0,4.80331636169972,0.801,0.068,0,"10","VWF"
0,4.58394136291285,0.412,0.019,0,"10","EGFL7"
0,4.44457727458001,0.635,0.047,0,"10","ANGPT2"
0,3.85792365328445,0.738,0.102,0,"10","CD34"
0,3.80117929003555,0.707,0.088,0,"10","ADGRL4"
0,3.7406491952536,0.379,0.026,0,"10","RAMP2"
0,3.69360132395403,0.605,0.063,0,"10","CLEC14A"
0,3.56690091366347,0.812,0.142,0,"10","CD93"
0,3.51349820452397,0.555,0.059,0,"10","MMRN2"
0,3.50503101067876,0.568,0.055,0,"10","ECSCR"
0,4.3443627075056,0.791,0.076,0,"11","MET"
0,4.11805155928522,0.332,0.015,0,"11","CD70"
0,3.81794812630815,0.652,0.057,0,"11","C15orf48"
0,3.73730329854753,0.54,0.048,0,"11","ANPEP"
0,3.31938362461935,0.324,0.03,0,"11","EGFR"
0,3.26736396563894,0.352,0.039,0,"11","LIF"
0,3.19895623499549,0.338,0.032,0,"11","KCNK3"
0,3.17833090691253,0.464,0.055,0,"11","STC2"
0,3.09054383829612,0.341,0.033,0,"11","FXYD2"
0,3.06361346578948,0.515,0.072,0,"11","CXCL2"
0,3.86907017791493,0.307,0.024,0,"12","C7"
0,3.33689356552903,0.537,0.067,0,"12","MFAP5"
0,3.15597648339152,0.8,0.201,0,"12","FBLN1"
0,2.3253083570574,0.578,0.145,0,"12","OGN"
0,2.12130241044204,0.23,0.043,0,"12","SRPX"
0,2.12066261919439,0.453,0.107,0,"12","PCOLCE"
0,1.99764297585667,0.67,0.176,0,"12","THBS2"
0,1.97011066768374,0.675,0.21,0,"12","LTBP2"
0,1.90701481440523,0.713,0.259,0,"12","FBN1"
0,1.89717255448255,0.639,0.145,0,"12","SFRP4"
0,5.67488606791988,0.83,0.049,0,"13","GNLY"
0,4.14607692076791,0.543,0.054,0,"13","KLRD1"
0,3.09168705667907,0.563,0.113,0,"13","PRF1"
0,2.82080030480961,0.423,0.094,0,"13","KLRC1"
0,2.57684881990054,0.323,0.068,0,"13","GZMB"
1.08100111772916e-146,2.54970965641998,0.155,0.036,4.07537421383894e-144,"13","FGFBP2"
6.21877685964468e-233,1.72744885350222,0.456,0.173,2.34447887608604e-230,"13","CD247"
4.47756243509663e-162,1.3608195265433,0.497,0.239,1.68804103803143e-159,"13","NKG7"
3.13941167075854e-183,1.08481533800417,0.748,0.502,1.18355819987597e-180,"13","CXCR4"
8.11506969439123e-187,0.924188530072095,0.808,0.525,3.05938127478549e-184,"13","CCL5"
2.29060892245281e-126,2.27565777271797,0.153,0.038,8.63559563764709e-124,"14","FCER1A"
0,2.27066786481521,0.4,0.079,0,"14","DES"
0,2.07771286258973,0.666,0.161,0,"14","MRC1"
3.43565915627832e-253,1.99895468185295,0.331,0.087,1.29524350191693e-250,"14","CLEC10A"
0,1.9336087212073,0.517,0.114,0,"14","CSF2RA"
1.96090733130713e-178,1.90247152746594,0.264,0.074,7.3926206390279e-176,"14","LYVE1"
1.04194860763857e-217,1.7158939173376,0.298,0.08,3.92814625079741e-215,"14","MFAP5"
9.40177486084317e-224,1.58317418522866,0.325,0.09,3.54446912253787e-221,"14","CLEC4E"
1.66617852711726e-54,1.58047357261524,0.118,0.041,6.28149304723209e-52,"14","CD1C"
5.86045936059328e-314,1.54304215889991,0.563,0.191,2.20939317894367e-311,"14","MYH11"
0,4.99954455874771,0.768,0.054,0,"15","CD79A"
0,4.97189254418741,0.883,0.07,0,"15","MZB1"
0,4.14810162938852,0.854,0.134,0,"15","TENT5C"
0,3.41620607986137,0.287,0.029,0,"15","DERL3"
0,3.32763046075379,0.697,0.126,0,"15","FKBP11"
0,2.59483526942929,0.369,0.064,0,"15","TNFRSF17"
0,2.34058404149591,0.731,0.248,0,"15","SLAMF7"
2.33525993700857e-230,1.9091328689591,0.419,0.127,8.8039299625223e-228,"15","PLCG2"
1.90857719238385e-207,1.89506213710406,0.417,0.133,7.19533601528711e-205,"15","CD27"
6.63995037262245e-310,1.78979520708142,0.733,0.328,2.50326129047866e-307,"15","PECAM1"
0,4.68187500048977,0.82,0.093,0,"16","MS4A1"
0,4.46240151393816,0.63,0.058,0,"16","BANK1"
0,4.41945518256292,0.314,0.024,0,"16","CD19"
1.10231633416212e-291,3.78309243133486,0.207,0.023,4.1557325797912e-289,"16","TNFRSF13B"
0,3.18411743669263,0.493,0.064,0,"16","CD79A"
3.92821036031142e-199,2.20728061027029,0.413,0.116,1.4809353058374e-196,"16","SELL"
