"ref_cell_type","Freq"
"Classical monocytes",21763
"DC",3980
"Effector memory CD8 T cells",48939
"Endothelial",52527
"Intermediate monocytes",74426
"Low-density neutrophils",5221
"LowQ_MTRNR2L",1840
"Mast",4344
"Myeloid dendritic cells",8400
"Naive B cells",26519
"NK_cell",13793
"Plasmablasts",22329
"Plasmacytoid dendritic cells",5126
"Proliferating",29989
"Proximal_tubule",5691
"Stroma_mural",79402
"T regulatory cells",34860
"Tumor_RCC",26079
