dist_mm,control,III,IV,IV+V
0.022894736842105263,4.619606808286054,2.21450234617727,2.1741116173698187,1.9199060369000924
0.04868421052631579,3.3810414789391214,2.1746609498871035,2.0256944645683683,2.07494372184267
0.0744736842105263,3.114669343553646,1.8801330588150935,1.9689970057765547,2.1762581982253963
0.10026315789473683,2.2579801692629218,1.788448653612824,1.8368300319436366,2.2552717485081453
0.12605263157894736,2.146967393128718,1.7068659143533083,1.7688827961188007,2.2933756128591125
0.1518421052631579,1.9775400903932665,1.6495293002096307,1.6898451207707577,2.3171969468853657
0.17763157894736842,1.737600105460897,1.5907759178851812,1.634960749344383,2.287282398902074
0.20342105263157895,1.590221046814288,1.5409310182158618,1.5599579997856456,2.228082422970454
0.22921052631578948,1.4269041010395844,1.4915253268889108,1.492744945110474,2.1749947081368632
0.255,1.316315233439574,1.4489873502173782,1.446304517022664,2.1269069041322997
0.2807894736842105,1.4241039696058744,1.411149855693709,1.4013222364893845,2.0694409972748344
0.30657894736842106,1.521469451137069,1.3720808082280496,1.3611492559618077,2.002632343710069
0.33236842105263154,1.6005516026025015,1.3295638122366626,1.3246227944940814,1.9383840335244054
0.3581578947368421,1.5888221604685366,1.306590683323115,1.2977404238729844,1.8842540857930175
0.3839473684210526,1.5595761394277798,1.2847796725376157,1.271621741547634,1.8291920148581855
0.4097368421052632,1.6029754542202819,1.2751750389757652,1.2505698632975253,1.7731166427174134
0.43552631578947365,1.6654725743835872,1.254416243002738,1.2382408651360222,1.7255572756669586
0.46131578947368423,1.7335163118555879,1.2375520156119464,1.2230529840525124,1.684683551874954
0.4871052631578947,1.7070268260607306,1.2221096556817108,1.2070241789900056,1.6502175688610006
