gene,cLN_niche_myeloid,RCC_myeloid,preview_myeloid
CD163,0.714,0.5906120402861961,0.6000356315695706
MRC1,0.244,0.12872442236704187,0.446908961339747
HLA-DRA,0.787,0.9342387093834025,
CD68,0.711,0.671384951920886,0.590860502405131
