"final_ref_cell_type","Freq"
"Effector memory CD8 T cells",12241
"Endothelial",2643
"Fibroblast",7690
"Immune infiltrate/doublet",2335
"Intercalated",3979
"Intermediate monocytes",9399
"Mast",443
"Myeloid dendritic cells",1733
"Natural killer cells",1776
"Plasmablasts",1410
"Stroma_mural",2827
"Switched memory B cells",1019
"T regulatory cells",6317
"Tumor_RCC",2503
"mregDC/CCR7+ T (mixed)",189
