"","B","Plasma","T_CD4","T_CD8","NK","DC","pDC","Mast","Macrophage","Monocyte","Neutrophil"
"B",753,84,0,31,1,14,5,1,3,0,0
"Plasma",54,1648,0,0,0,0,0,0,0,0,0
"T_CD4",8,0,0,148,12,1,1,0,2,2,0
"T_CD8",3,0,0,163,17,1,0,0,1,0,0
"NK",0,1,0,17,147,0,0,0,1,0,0
"DC",6,0,0,3,0,583,1,1,19,12,0
"pDC",3,0,0,1,0,2,9,0,0,0,0
"Mast",1,0,0,2,1,0,0,12,1,0,2
"Macrophage",324,14,0,148,3,598,11,42,6917,139,6
"Monocyte",0,0,0,3,2,24,0,1,30,289,38
"Neutrophil",0,0,0,0,1,0,0,0,0,7,110
