dataset,aggregate,n_plasma,n_region,myeloid_frac_inside,myeloid_bg,myeloid_log2enrich,x,y
RCC_BIG,61,12,106,0.1604,0.2358,-0.556,11127.994547526041,4851.113850911458
RCC_BIG,62,29,222,0.1486,0.2358,-0.666,11006.9052734375,5585.102555899784
RCC_BIG,63,15,152,0.2039,0.2358,-0.21,11036.9716796875,4493.129329427084
RCC_BIG,64,10,231,0.2814,0.2358,0.255,11137.99365234375,3629.9883056640624
RCC_BIG,65,31,433,0.2148,0.2358,-0.135,11424.680160030242,2210.819887222782
RCC_BIG,66,84,657,0.2983,0.2358,0.339,11379.935709635416,2394.407674153646
RCC_BIG,67,36,259,0.3514,0.2358,0.575,11393.132297092014,2616.2102322048613
RCC_BIG,68,14,241,0.3029,0.2358,0.361,11236.43422154018,2609.377668108259
RCC_BIG,69,42,562,0.2936,0.2358,0.316,11252.276948474702,3511.5412248883927
RCC_BIG,70,34,468,0.2521,0.2358,0.096,10996.13849954044,2353.5103759765625
RCC_BIG,71,53,444,0.3536,0.2358,0.584,11064.082381338443,2757.670893831073
RCC_BIG,72,24,175,0.32,0.2358,0.44,11161.203165690104,3010.0076192220054
RCC_BIG,73,98,1074,0.2104,0.2358,-0.164,10420.580406967474,1163.3161944953763
RCC_BIG,74,26,257,0.1868,0.2358,-0.336,10329.461087740385,1706.0911724384014
RCC_BIG,75,311,3298,0.2022,0.2358,-0.222,10600.524746910169,2133.8622901646654
RCC_BIG,76,14,209,0.2297,0.2358,-0.038,10451.00279017857,1501.16117640904
RCC_BIG,77,104,1092,0.2885,0.2358,0.291,10021.587918795072,1984.445080096905
RCC_BIG,78,13,406,0.197,0.2358,-0.259,10214.449969951924,1902.094247671274
RCC_BIG,79,48,372,0.2554,0.2358,0.115,10283.209187825521,1406.3235422770183
RCC_BIG,80,69,751,0.2104,0.2358,-0.165,10077.117413949276,1471.470064467278
RCC_BIG,81,254,656,0.1677,0.2358,-0.492,10723.344930333415,4390.791650006152
RCC_BIG,82,61,370,0.2541,0.2358,0.107,10939.175621157787,4256.573522348873
RCC_BIG,83,15,157,0.4331,0.2358,0.877,10769.6208984375,4122.979736328125
RCC_BIG,84,11,76,0.1711,0.2358,-0.463,10631.392311789772,3851.0322043678975
RCC_BIG,85,164,832,0.2332,0.2358,-0.016,10625.977562881097,4582.765127786776
RCC_BIG,86,115,1035,0.286,0.2358,0.278,10888.719573709239,3323.160737941576
RCC_BIG,87,17,298,0.3691,0.2358,0.646,10896.14470358456,2639.794132008272
RCC_BIG,88,125,818,0.2702,0.2358,0.196,10579.0835859375,2634.90216015625
RCC_BIG,89,85,1336,0.1811,0.2358,-0.381,10761.518095128677,1764.3115033318015
RCC_BIG,90,25,165,0.2303,0.2358,-0.034,10594.601015625,3351.04837890625
RCC_BIG,91,29,197,0.3147,0.2358,0.416,10440.371598868534,4342.7940463362065
RCC_BIG,92,12,119,0.1765,0.2358,-0.418,10481.482340494791,4595.397054036458
RCC_BIG,93,13,127,0.1181,0.2358,-0.998,10179.608999399039,4799.659442608173
RCC_BIG,94,174,1193,0.2716,0.2358,0.204,10145.51123046875,3107.3968912760415
RCC_BIG,95,12,163,0.2147,0.2358,-0.135,10321.850830078125,2492.6476847330728
RCC_BIG,96,33,273,0.2198,0.2358,-0.102,10089.474668560606,2717.084687204072
