section,n_aggregates,n_cells_in,n_cells_out,B_in,B_out,B_log2,Plasma_in,Plasma_out,Plasma_log2,Myeloid_in,Myeloid_out,Myeloid_log2,T_lineage_in,T_lineage_out,T_lineage_log2,NK_in,NK_out,NK_log2
1071,1,98,16299,15,137,4.186482298123872,0,70,-12.068691636009607,6,636,0.6498521255513765,0,340,-14.348532831666066,0,4,-7.944939414029133
HK3614,3,636,59614,22,205,3.3300543540552003,1,49,0.9349338879071776,20,1201,0.6423625301758304,11,649,0.667788452583847,0,18,-8.242900163152816
HK3070,1,276,95475,6,489,2.0853674937597235,0,98,-10.004847858393106,12,5188,-0.3216826940452878,13,3071,0.5502436364157814,0,36,-8.562479259163956
HK3631,19,4594,63512,212,1154,1.344651249540935,4,32,0.7880018728883428,196,2868,-0.08191115859407007,271,3575,0.06762678067718364,6,37,1.163345454010522
HK2695,4,465,29431,46,465,2.646360361143213,3,150,0.3400464082469245,20,988,0.3575134667845578,26,1425,0.20765155610069855,0,27,-9.842978863813308
